,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Pallets Solicitados,Cajas Solicitadas
165,SD,663441,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",225596,0.076923,20.0
166,SD,663480,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",237748,5.0,720.0
167,SD,663491,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",215258,0.769231,200.0
168,SD,663491,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",215258,0.694444,100.0
169,SD,663517,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",363993,0.25,36.0
170,SD,663517,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",363993,0.013263,5.0
171,SD,663517,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",363993,0.0625,5.0
172,SD,663517,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",363993,0.013263,5.0
173,SD,663519,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",363993,0.5,136.0
174,SD,663519,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",363993,0.0625,5.0
175,SD,663519,6050100001,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.              ",363993,0.013263,5.0
176,SD,663519,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",363993,0.0625,5.0
177,SD,663553,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",248095,0.5,72.0
178,SD,663555,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",282507,0.153846,40.0
179,SD,663624,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",240409,0.076923,29.0
180,SD,663624,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",240409,0.9,72.0
181,SD,663625,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",240409,0.076923,20.0
182,SD,663626,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",240409,0.030769,8.0
183,SD,663627,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",327955,0.183824,50.0
184,SD,663631,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",225661,0.184615,48.0
185,SD,663631,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",225661,3.0,780.0
186,SD,663631,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",225661,4.0,576.0
187,SD,663631,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",225661,2.0,216.0
188,SD,663631,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",225661,0.384615,100.0
189,SD,663631,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",225661,0.25,36.0
190,SD,663631,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",225661,0.615385,160.0
191,SD,663632,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",225661,3.0,240.0
192,SD,663651,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",258384,0.484615,126.0
193,SD,663657,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",334254,0.076923,29.0
194,SD,663657,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",334254,0.2,16.0
195,SD,663657,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",334254,0.6,48.0
196,SD,663658,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",288883,0.076923,29.0
197,SD,663658,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",288883,0.2,16.0
198,SD,663664,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",313119,4.6,368.0
199,SD,663665,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",228809,0.169231,44.0
200,SD,663665,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",228809,0.902778,130.0
201,SD,663665,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",228809,1.384615,360.0
202,SD,663665,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",228809,0.125,18.0
203,SD,663665,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",228809,2.5,680.0
204,SD,663665,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",228809,0.333333,36.0
205,SD,663665,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",228809,0.384615,100.0
206,SD,663665,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",228809,0.069444,10.0
207,SD,663665,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",228809,0.143382,39.0
208,SD,663666,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",240058,0.007692,2.0
209,SD,663666,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",240058,2.403183,906.0
210,SD,663666,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",240058,0.75,60.0
211,SD,663666,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",240058,0.125,34.0
212,SD,663666,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",240058,1.5,120.0
213,SD,663666,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",240058,0.3625,29.0
214,SD,663719,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",252542,0.5,54.0
215,SD,663719,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",252542,0.076923,20.0
216,SD,663731,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",286954,0.192308,50.0
217,SD,663731,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",286954,2.926923,761.0
218,SD,663731,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",286954,1.0,272.0
219,SD,663731,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",286954,0.230769,60.0
220,SD,663731,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",286954,1.0,144.0
221,SD,663731,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",286954,1.0,144.0
222,SD,663731,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",286954,2.0,216.0
223,SD,663731,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",286954,0.384615,100.0
224,SD,663731,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",286954,0.25,36.0
225,SD,663731,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",286954,0.615385,160.0
226,SD,663731,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",286954,0.323529,88.0
227,SD,663732,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",286954,0.134615,35.0
228,SD,663733,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",286954,0.096154,25.0
229,SD,663735,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",247583,6.938462,1804.0
230,SD,663735,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",247583,0.415385,108.0
231,SD,663735,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",247583,1.1,286.0
232,SD,663738,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",240409,0.125,18.0
233,SD,663738,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",240409,0.166667,18.0
234,SD,663739,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",225596,0.076923,20.0
235,SD,663740,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",242964,0.076923,20.0
236,SD,663740,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",242964,0.384615,100.0
237,SD,663743,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",240409,1.75,476.0
