,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
245,232173,SD,663944,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",300.0,2.083333
246,232173,SD,663944,6030040057,"MAYO,MAYOLIVA,L.G,8,950 CC,DP,CT,ESP,M.I./ARL     ",300.0,2.777778
247,232173,SD,663944,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1656.0,6.369231
248,232173,SD,663944,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",500.0,1.923077
249,232173,SD,663944,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",600.0,4.166667
250,232173,SD,663944,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",1000.0,3.846154
251,232173,SD,663945,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",2592.0,18.0
252,232173,SD,663946,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",1440.0,10.0
253,232173,SD,663947,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",3282.0,22.791667
254,242957,SD,175981,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",120.0,2.4
255,242957,SD,663927,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",50.0,0.192308
256,242957,SD,663927,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",50.0,0.625
257,335857,SD,175984,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",360.0,6.0
258,335857,SD,663943,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",16.0,0.2
259,335857,SD,663943,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",50.0,0.192308
260,335857,SD,663943,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",260.0,1.0
261,335857,SD,663943,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",144.0,1.0
262,335857,SD,663943,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",174.0,0.461538
263,335857,SD,663943,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",544.0,2.0
264,335857,SD,663943,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",160.0,2.0
265,335857,SD,663943,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",50.0,0.192308
266,274918,SD,175851,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",30.0,0.5
267,273955,SD,175767,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",180.0,3.0
268,273955,SD,175767,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",336.0,4.666667
269,313119,SD,175848,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",60.0,1.0
270,313119,SD,663664,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",368.0,4.6
271,237840,SD,175934,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",1300.0,26.0
272,237840,SD,175935,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",1300.0,26.0
