,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
362,SD,663900,241192,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",0.25,68.0
363,SD,663900,241192,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",0.018519,2.0
364,SD,663900,241192,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.038462,10.0
365,SD,663900,241192,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.036765,10.0
366,SD,663900,241192,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",3.0,780.0
367,SD,663900,241192,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",3.0,432.0
368,SD,663900,241192,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",2.0,544.0
369,SD,663900,241192,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.153846,40.0
370,SD,663900,241192,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.230769,60.0
371,SD,663901,326701,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",2.203846,573.0
372,SD,663901,326701,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",0.007958,3.0
373,SD,663901,326701,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",0.139706,38.0
374,SD,663902,319406,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",2.0,160.0
375,SD,663902,319406,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",3.0,816.0
376,SD,663905,257797,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",2.0,288.0
377,SD,663907,242156,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",0.208333,30.0
378,SD,663908,242156,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",4.166667,600.0
379,SD,663914,274855,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",4.75,684.0
380,SD,663914,274855,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",1.923077,725.0
381,SD,663914,274855,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",0.7625,61.0
382,SD,663914,274855,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",0.384615,100.0
383,SD,663914,274855,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",1.230769,320.0
384,SD,663914,274855,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",1.388889,200.0
385,SD,663914,274855,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",1.0,272.0
386,SD,663914,274855,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",1.384615,522.0
387,SD,663914,274855,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",2.538462,660.0
388,SD,663914,274855,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",2.777778,400.0
389,SD,663914,274855,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",1.923077,500.0
390,SD,663914,274855,6050100001,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.              ",1.591512,600.0
391,SD,663915,274855,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",7.125,1026.0
392,SD,663915,274855,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",3.488462,907.0
393,SD,663915,274855,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",9.259259,1000.0
394,SD,663915,274855,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",3.2375,259.0
395,SD,663916,330916,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",2.5,360.0
396,SD,663916,330916,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",1.0,260.0
397,SD,663916,330916,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",1.0,144.0
398,SD,663916,330916,6030040057,"MAYO,MAYOLIVA,L.G,8,950 CC,DP,CT,ESP,M.I./ARL     ",1.0,108.0
399,SD,663916,330916,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",7.0,1820.0
400,SD,663916,330916,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",7.0,1008.0
401,SD,663917,330916,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",17.0,1836.0
402,SD,663917,330916,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",2.307692,600.0
403,SD,663917,330916,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",1.75,252.0
404,SD,663917,330916,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",1.0,260.0
405,SD,663918,330916,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",20.0,2880.0
406,SD,663925,242156,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.307692,80.0
407,SD,663925,242156,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",0.138889,20.0
408,SD,663926,242156,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.011538,3.0
409,SD,663927,242957,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.192308,50.0
410,SD,663927,242957,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",0.625,50.0
411,SD,663935,363993,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",2.0,544.0
412,SD,663939,292466,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",2.0,544.0
413,SD,663940,292466,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.076923,20.0
414,SD,663940,292466,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",1.0,260.0
415,SD,663940,292466,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.115385,30.0
416,SD,663940,292466,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1.0,260.0
417,SD,663940,292466,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.230769,60.0
418,SD,663940,292466,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",0.125,34.0
419,SD,663941,366536,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.461538,120.0
420,SD,663941,366536,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.076923,20.0
421,SD,663941,366536,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.125,34.0
422,SD,663941,366536,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.076923,20.0
423,SD,663941,366536,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.076923,20.0
424,SD,663941,366536,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",0.125,34.0
425,SD,663943,335857,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",0.2,16.0
426,SD,663943,335857,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.192308,50.0
427,SD,663943,335857,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1.0,260.0
428,SD,663943,335857,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",1.0,144.0
429,SD,663943,335857,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",0.461538,174.0
430,SD,663943,335857,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",2.0,544.0
431,SD,663943,335857,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",2.0,160.0
432,SD,663943,335857,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.192308,50.0
433,SD,663944,232173,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",3.472222,500.0
434,SD,663944,232173,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",1.546154,402.0
435,SD,663944,232173,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",2.083333,300.0
436,SD,663944,232173,6030040057,"MAYO,MAYOLIVA,L.G,8,950 CC,DP,CT,ESP,M.I./ARL     ",2.777778,300.0
437,SD,663944,232173,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",6.369231,1656.0
438,SD,663944,232173,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",1.923077,500.0
439,SD,663944,232173,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",4.166667,600.0
440,SD,663944,232173,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",3.846154,1000.0
441,SD,663945,232173,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",18.0,2592.0
442,SD,663946,232173,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",10.0,1440.0
443,SD,663947,232173,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",22.791667,3282.0
444,SD,663949,307652,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",0.6,48.0
445,SD,663949,307652,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",1.5,408.0
446,SD,663949,307652,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.603846,157.0
447,SD,663949,307652,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",0.256944,37.0
448,SD,663949,307652,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.154412,42.0
449,SD,663949,307652,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",5.461538,1420.0
450,SD,663949,307652,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",4.875,702.0
451,SD,663949,307652,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",0.6,48.0
