,Depósito Padre,SKU,Descripción,Lote,Fecha de Vencimiento,Dias al Vencimiento,cajas_x_pallets,Cajas Disponibles
488,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",210823                        ,8/20/2025,553,72,0.0
489,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",220923                        ,9/21/2025,585,72,0.0
490,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",230523                        ,5/24/2025,465,72,0.0
491,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",231023                        ,10/21/2025,615,72,0.0
492,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",251023                        ,10/24/2025,618,72,0.0
493,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",261122                        ,11/25/2024,285,72,0.0
494,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",270822                        ,8/26/2024,194,72,0.0
495,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",280223                        ,2/27/2025,379,72,0.0
496,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",301123                        ,11/30/2025,655,72,0.0
497,    CDCDCO1,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",311023                        ,10/30/2025,624,72,0.0
498,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",040523                        ,5/3/2025,444,60,0.0
499,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",060223                        ,2/6/2025,358,60,0.0
500,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",110923                        ,9/10/2025,574,60,0.0
501,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",120922                        ,9/11/2024,210,60,0.0
502,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",160822                        ,8/15/2024,183,60,0.0
503,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",170623                        ,6/20/2025,492,60,0.0
504,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",170823                        ,8/16/2025,549,60,0.0
505,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",210223                        ,2/22/2025,374,60,0.0
506,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",221222                        ,12/21/2024,311,60,0.0
507,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",250723                        ,7/25/2025,527,60,0.0
508,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",260124                        ,1/25/2026,711,60,3900.0
509,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",270623                        ,6/26/2025,498,60,0.0
510,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",280923                        ,9/27/2025,591,60,555.0
511,    CDCDCO1,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",301023                        ,10/29/2025,623,60,1020.0
512,    CDCDCO1,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",021122                        ,11/1/2024,261,160,0.0
513,    CDCDCO1,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",151222                        ,12/14/2024,304,160,0.0
514,    CDCDCO1,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",161022                        ,10/14/2024,243,160,0.0
515,    CDCDCO1,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",170922                        ,9/16/2024,215,160,0.0
516,    CDCDCO1,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",100922                        ,9/9/2024,208,60,60.0
517,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",011222                        ,12/2/2024,292,60,0.0
518,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",020223                        ,2/2/2025,354,60,0.0
519,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",020523                        ,5/2/2025,443,60,0.0
520,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",060423                        ,4/5/2025,416,60,0.0
521,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",070723                        ,7/6/2025,508,60,0.0
522,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",080823                        ,8/8/2025,541,60,27.0
523,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",091023                        ,10/8/2025,602,60,5040.0
524,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",110323                        ,3/14/2025,394,60,0.0
525,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",150223                        ,2/15/2025,367,60,0.0
526,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",160523                        ,5/15/2025,456,60,0.0
