,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
0,SD,175330,363993,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",8.0,0.035714
1,SD,175330,363993,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",8.0,0.035714
2,SD,175330,363993,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",64.0,0.285714
3,SD,175330,363993,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",8.0,0.035714
4,SD,175615,260883,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",30.0,0.1875
5,SD,175697,232571,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",32.0,0.142857
6,SD,175753,366063,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",5.0,0.027027
7,SD,175753,366063,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
8,SD,175753,366063,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
9,SD,175759,282507,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
10,SD,175759,282507,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
11,SD,175767,273955,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",180.0,3.0
12,SD,175767,273955,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",336.0,4.666667
13,SD,175768,251874,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",600.0,10.0
14,SD,175768,251874,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",720.0,10.0
15,SD,175771,363993,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",5.0,0.027027
16,SD,175771,363993,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
17,SD,175771,363993,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
18,SD,175771,363993,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",8.0,0.035714
19,SD,175771,363993,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",8.0,0.035714
20,SD,175771,363993,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",8.0,0.035714
21,SD,175781,241222,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
22,SD,175781,241222,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
23,SD,175781,241222,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",16.0,0.071429
24,SD,175782,248095,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
25,SD,175782,248095,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
26,SD,175782,248095,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",16.0,0.071429
27,SD,175798,319406,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",240.0,4.0
28,SD,175815,242389,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",37.0,0.2
29,SD,175815,242389,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",20.0,0.125
30,SD,175815,242389,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",20.0,0.125
31,SD,175815,242389,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",600.0,12.0
32,SD,175815,242389,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",32.0,0.142857
33,SD,175825,225675,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",60.0,1.0
34,SD,175833,241227,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
35,SD,175833,241227,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
36,SD,175841,258384,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",7.0,0.048611
37,SD,175841,258384,6011270002,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL       ",6.0,0.057143
38,SD,175841,258384,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",300.0,5.0
39,SD,175841,258384,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",792.0,11.0
40,SD,175841,258384,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",60.0,1.0
41,SD,175841,258384,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",150.0,3.0
42,SD,175841,258384,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",6.0,0.1
43,SD,175841,258384,6011570005,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.           ",32.0,0.2
44,SD,175841,258384,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",13.0,0.180556
45,SD,175841,258384,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",20.0,0.089286
46,SD,175841,258384,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",18.0,0.080357
47,SD,175841,258384,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",140.0,0.625
48,SD,175844,334254,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",216.0,3.0
49,SD,175844,334254,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",96.0,0.428571
50,SD,175845,288883,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",216.0,3.0
51,SD,175845,288883,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",64.0,0.285714
52,SD,175848,313119,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",60.0,1.0
53,SD,175849,228809,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",180.0,3.0
54,SD,175849,228809,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",288.0,4.0
55,SD,175851,274918,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",30.0,0.5
56,SD,175858,306443,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",360.0,7.2
57,SD,175863,361408,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",72.0,1.0
58,SD,175863,361408,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",60.0,1.2
59,SD,175864,280862,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",360.0,7.2
60,SD,175867,301161,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",300.0,1.339286
61,SD,175867,301161,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",473.0,2.111607
62,SD,175878,330853,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",60.0,1.0
63,SD,175880,241229,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
64,SD,175880,241229,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
65,SD,175881,232182,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",840.0,16.8
66,SD,175881,232182,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",360.0,5.0
67,SD,175882,301161,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",420.0,2.625
68,SD,175883,301161,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",50.0,0.347222
69,SD,175883,301161,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",22.0,0.366667
70,SD,175883,301161,6011570005,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.           ",50.0,0.3125
71,SD,175886,326701,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",326.0,5.433333
72,SD,175886,326701,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",216.0,3.0
73,SD,175887,247583,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",1440.0,20.0
74,SD,175888,261777,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",160.0,3.2
75,SD,175889,242964,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",5.0,0.022321
76,SD,175889,242964,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",5.0,0.022321
77,SD,175889,242964,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",10.0,0.044643
78,SD,175891,255871,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",144.0,2.0
79,SD,175891,255871,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",150.0,3.0
80,SD,175894,304576,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",10.0,0.054054
81,SD,175894,304576,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",20.0,0.125
82,SD,175894,304576,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",20.0,0.125
83,SD,175894,304576,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",300.0,6.0
84,SD,175894,304576,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",32.0,0.142857
85,SD,175894,304576,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",32.0,0.142857
86,SD,175895,277711,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",360.0,7.2
87,SD,175895,277711,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",32.0,0.142857
88,SD,175896,344134,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",30.0,0.162162
89,SD,175896,344134,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",720.0,18.0
90,SD,175896,344134,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",16.0,0.083333
91,SD,175900,242906,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",360.0,5.0
92,SD,175900,242906,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",150.0,3.0
93,SD,175900,242906,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",100.0,0.446429
94,SD,175901,278927,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",600.0,12.0
95,SD,175902,226806,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",1560.0,26.0
96,SD,175903,202821,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",40.0,0.666667
97,SD,175903,202821,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",36.0,0.5
98,SD,175903,202821,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",20.0,0.4
99,SD,175903,202821,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",5.0,0.022321
100,SD,175903,202821,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",5.0,0.022321
101,SD,175903,202821,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",10.0,0.044643
102,SD,175904,330012,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",120.0,2.0
103,SD,175904,330012,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",216.0,3.0
104,SD,175906,241192,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",120.0,2.0
105,SD,175906,241192,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",216.0,3.0
106,SD,175907,232169,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",1300.0,26.0
107,SD,175908,232169,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",1300.0,26.0
108,SD,661181,363993,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",20.0,0.076923
109,SD,661181,363993,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",68.0,0.25
110,SD,661182,363993,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",20.0,0.076923
111,SD,662182,363993,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",60.0,0.230769
112,SD,662182,363993,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",54.0,0.375
113,SD,662182,363993,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",40.0,0.153846
114,SD,662182,363993,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",34.0,0.125
115,SD,662183,363993,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",18.0,0.166667
116,SD,662183,363993,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",18.0,0.125
117,SD,662183,363993,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",520.0,2.0
118,SD,662183,363993,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",288.0,2.0
119,SD,662183,363993,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",108.0,1.0
120,SD,662400,311778,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",16.0,0.2
121,SD,662400,311778,6050100001,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.              ",1.0,0.002653
122,SD,662759,363993,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",60.0,0.230769
123,SD,662759,363993,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",34.0,0.125
124,SD,662759,363993,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",29.0,0.076923
125,SD,662759,363993,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",1360.0,5.0
126,SD,662759,363993,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",80.0,1.0
127,SD,662759,363993,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",20.0,0.076923
128,SD,662893,225596,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",20.0,0.076923
129,SD,662947,363993,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",216.0,2.0
130,SD,663004,330921,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",740.0,2.846154
131,SD,663168,241189,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",20.0,0.076923
132,SD,663168,241189,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",18.0,0.166667
133,SD,663168,241189,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",20.0,0.076923
134,SD,663170,286155,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",10.0,0.038462
135,SD,663245,288883,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",16.0,0.111111
136,SD,663246,288883,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",28.0,0.074271
137,SD,663253,242156,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",30.0,0.208333
138,SD,663253,242156,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",40.0,0.153846
139,SD,663288,225661,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",150.0,0.576923
140,SD,663289,338810,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",34.0,0.125
141,SD,663298,241153,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",144.0,0.553846
142,SD,663298,241153,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",80.0,0.307692
143,SD,663298,241153,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",117.0,0.45
144,SD,663322,357270,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",20.0,0.076923
145,SD,663322,357270,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",144.0,1.0
146,SD,663349,255871,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",100.0,0.694444
147,SD,663376,361409,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",5.0,0.034722
148,SD,663412,242156,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",24.0,0.166667
149,SD,663437,279534,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",30.0,0.115385
150,SD,663441,225596,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",20.0,0.076923
151,SD,663480,237748,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",720.0,5.0
152,SD,663491,215258,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",200.0,0.769231
153,SD,663491,215258,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",100.0,0.694444
154,SD,663503,325039,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",180.0,0.692308
155,SD,663506,361409,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",12.0,0.046154
156,SD,663517,363993,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",36.0,0.25
157,SD,663517,363993,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",5.0,0.013263
158,SD,663517,363993,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",5.0,0.0625
159,SD,663517,363993,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",5.0,0.013263
160,SD,663519,363993,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",136.0,0.5
161,SD,663519,363993,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",5.0,0.0625
162,SD,663519,363993,6050100001,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.              ",5.0,0.013263
163,SD,663519,363993,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",5.0,0.0625
164,SD,663553,248095,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",72.0,0.5
165,SD,663555,282507,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",40.0,0.153846
166,SD,663567,245262,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",780.0,3.0
167,SD,663567,245262,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",2080.0,8.0
168,SD,663567,245262,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",1584.0,11.0
169,SD,663567,245262,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",1040.0,4.0
170,SD,663605,242389,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",1152.0,8.0
171,SD,663614,361409,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",150.0,0.551471
172,SD,663614,361409,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",342.0,1.315385
173,SD,663614,361409,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",600.0,2.205882
174,SD,663614,361409,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",40.0,0.153846
175,SD,663624,240409,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",29.0,0.076923
176,SD,663624,240409,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",29.0,0.076923
177,SD,663624,240409,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",72.0,0.9
178,SD,663625,240409,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",46.0,0.176923
179,SD,663625,240409,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",20.0,0.076923
180,SD,663626,240409,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",8.0,0.030769
181,SD,663627,327955,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",50.0,0.183824
182,SD,663629,245013,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",29.0,0.076923
183,SD,663630,317746,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",29.0,0.076923
184,SD,663631,225661,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",20.0,0.076923
185,SD,663631,225661,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",144.0,1.0
186,SD,663631,225661,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",48.0,0.184615
187,SD,663631,225661,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",780.0,3.0
188,SD,663631,225661,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",576.0,4.0
189,SD,663631,225661,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",216.0,2.0
190,SD,663631,225661,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",100.0,0.384615
191,SD,663631,225661,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",36.0,0.25
192,SD,663631,225661,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",160.0,0.615385
193,SD,663632,225661,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",240.0,3.0
194,SD,663651,258384,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",152.0,0.584615
195,SD,663651,258384,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",4.0,0.015385
196,SD,663651,258384,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",6.0,0.041667
197,SD,663651,258384,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",420.0,1.615385
198,SD,663651,258384,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",234.0,1.625
199,SD,663651,258384,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",34.0,0.125
200,SD,663651,258384,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",18.0,0.166667
201,SD,663651,258384,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",126.0,0.484615
202,SD,663651,258384,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",101.0,0.701389
203,SD,663651,258384,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",143.0,0.525735
204,SD,663651,258384,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",2400.0,9.230769
205,SD,663651,258384,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",198.0,1.375
206,SD,663651,258384,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",29.0,0.076923
207,SD,663651,258384,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",5032.0,18.5
208,SD,663651,258384,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",144.0,1.333333
209,SD,663651,258384,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",156.0,0.6
210,SD,663651,258384,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",91.0,0.631944
211,SD,663651,258384,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",96.0,0.369231
