,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Cajas Solicitadas,Pallets Solicitados
355,363993,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",SD,663517,5.0,0.0625
356,363993,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661181,20.0,0.076923
357,363993,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661182,20.0,0.076923
358,363993,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,662182,54.0,0.375
359,363993,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,663519,136.0,0.5
360,363993,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,662183,18.0,0.166667
361,363993,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",SD,662183,18.0,0.125
362,363993,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,662759,34.0,0.125
363,363993,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,662183,520.0,2.0
364,363993,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,662183,288.0,2.0
365,363993,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",SD,662759,29.0,0.076923
366,363993,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,662759,1360.0,5.0
367,363993,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,662759,80.0,1.0
368,363993,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,662183,108.0,1.0
369,363993,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,662947,216.0,2.0
370,363993,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,662182,40.0,0.153846
371,363993,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,662759,20.0,0.076923
372,363993,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",SD,663517,5.0,0.013263
373,363993,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",SD,663519,5.0,0.0625
374,363993,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",SD,175330,8.0,0.035714
375,363993,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",SD,175771,8.0,0.035714
376,363993,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",SD,175330,8.0,0.035714
377,363993,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",SD,175771,8.0,0.035714
378,363993,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,175330,64.0,0.285714
379,363993,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,175330,8.0,0.035714
380,363993,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,175771,8.0,0.035714
381,363993,6050100001,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.              ",SD,663519,5.0,0.013263
382,363993,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,661181,68.0,0.25
383,363993,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,662182,34.0,0.125
384,363993,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",SD,663519,5.0,0.0625
385,248095,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",SD,175782,5.0,0.03125
386,248095,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",SD,175782,5.0,0.03125
387,248095,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,663553,72.0,0.5
388,248095,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,175782,16.0,0.071429
389,241227,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",SD,175833,5.0,0.03125
390,241227,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",SD,175833,5.0,0.03125
391,241229,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",SD,175880,5.0,0.03125
392,241229,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",SD,175880,5.0,0.03125
393,338810,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,663289,34.0,0.125
394,225661,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,663631,20.0,0.076923
395,225661,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",SD,663631,144.0,1.0
396,225661,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,663631,48.0,0.184615
397,225661,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663631,780.0,3.0
398,225661,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,663631,576.0,4.0
399,225661,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,663632,240.0,3.0
400,225661,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,663631,216.0,2.0
401,225661,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,663631,100.0,0.384615
402,225661,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",SD,663631,36.0,0.25
403,225661,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,663288,150.0,0.576923
404,225661,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,663631,160.0,0.615385
405,215258,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",SD,663491,200.0,0.769231
406,215258,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",SD,663491,100.0,0.694444
407,257797,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,663777,520.0,2.0
408,257797,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,663777,288.0,2.0
409,257797,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663777,2600.0,10.0
410,257797,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,663777,288.0,2.0
411,257797,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,663777,272.0,1.0
412,225675,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,175825,60.0,1.0
413,228809,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,175849,180.0,3.0
414,228809,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,175849,288.0,4.0
415,228809,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,663665,44.0,0.169231
416,228809,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",SD,663665,130.0,0.902778
417,228809,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663665,360.0,1.384615
418,228809,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,663665,18.0,0.125
419,228809,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,663665,680.0,2.5
420,228809,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,663665,36.0,0.333333
421,228809,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,663665,100.0,0.384615
422,228809,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",SD,663665,10.0,0.069444
423,228809,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,663665,39.0,0.143382
424,258384,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",SD,175841,7.0,0.048611
425,258384,6011270002,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL       ",SD,175841,6.0,0.057143
426,258384,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,175841,300.0,5.0
427,258384,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,175841,792.0,11.0
428,258384,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",SD,175841,60.0,1.0
429,258384,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,175841,150.0,3.0
430,258384,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",SD,175841,6.0,0.1
431,258384,6011570005,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.           ",SD,175841,32.0,0.2
432,258384,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",SD,175841,13.0,0.180556
433,258384,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,663651,152.0,0.584615
434,258384,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",SD,663651,4.0,0.015385
435,258384,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",SD,663651,6.0,0.041667
436,258384,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,663651,420.0,1.615385
437,258384,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,663651,234.0,1.625
438,258384,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,663651,34.0,0.125
439,258384,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,663651,18.0,0.166667
440,258384,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,663651,126.0,0.484615
441,258384,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",SD,663651,101.0,0.701389
442,258384,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,663651,143.0,0.525735
443,258384,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663651,2400.0,9.230769
444,258384,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,663651,198.0,1.375
445,258384,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",SD,663651,29.0,0.076923
446,258384,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,663651,5032.0,18.5
447,258384,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,663651,144.0,1.333333
448,258384,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,663651,156.0,0.6
449,258384,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",SD,663651,91.0,0.631944
450,258384,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",SD,175841,20.0,0.089286
451,258384,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",SD,175841,18.0,0.080357
452,258384,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,175841,140.0,0.625
453,258384,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,663651,96.0,0.369231
454,258384,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,663651,9.0,0.033088
455,278927,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,175901,600.0,12.0
456,278927,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,663781,160.0,2.0
457,278927,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,663781,520.0,2.0
458,278927,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,663781,544.0,2.0
459,361409,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",SD,663376,5.0,0.034722
460,361409,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,663702,300.0,1.153846
461,361409,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,663614,150.0,0.551471
462,361409,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663614,342.0,1.315385
463,361409,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,663702,60.0,0.416667
464,361409,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,663614,600.0,2.205882
