,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
126,286155,SD,663773,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",1.153846,300.0
127,286155,SD,663773,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",0.833333,120.0
128,286155,SD,663773,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",2.625,714.0
129,286155,SD,663773,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",0.185185,20.0
130,286155,SD,663773,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.038462,10.0
131,286155,SD,663773,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",7.0,1820.0
132,286155,SD,663773,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",4.0,576.0
133,286155,SD,663773,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",11.0,2992.0
134,286155,SD,663773,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.692308,180.0
135,286155,SD,663773,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.230769,60.0
136,286155,SD,663775,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.038462,10.0
137,286155,SD,663775,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1.461538,380.0
138,286155,SD,663775,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.125,18.0
139,286155,SD,663775,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",2.0,544.0
140,286155,SD,663775,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.038462,10.0
141,286155,SD,663775,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.038462,10.0
142,245014,SD,663794,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",1.0,260.0
143,245014,SD,663794,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",0.125,34.0
144,245014,SD,663794,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.115385,30.0
145,245014,SD,663794,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.220588,60.0
146,245014,SD,663794,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1.307692,340.0
147,245014,SD,663794,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",2.0,288.0
148,245014,SD,663794,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",12.0,3264.0
149,245014,SD,663794,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",1.653846,430.0
150,245014,SD,663794,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.461538,120.0
151,252542,SD,663719,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",0.5,54.0
152,252542,SD,663719,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.076923,20.0
153,288883,SD,175845,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",3.0,216.0
154,288883,SD,175845,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.285714,64.0
155,288883,SD,663245,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",0.111111,16.0
156,288883,SD,663246,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",0.074271,28.0
157,288883,SD,663658,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",0.076923,29.0
158,288883,SD,663658,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",0.2,16.0
159,241192,SD,175906,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",2.0,120.0
160,241192,SD,175906,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",3.0,216.0
161,334254,SD,175844,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",3.0,216.0
162,334254,SD,175844,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.428571,96.0
163,334254,SD,663657,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",0.076923,29.0
164,334254,SD,663657,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",0.2,16.0
165,334254,SD,663657,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",0.6,48.0
166,266980,SD,663728,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",0.026525,10.0
167,266980,SD,663728,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",0.1,8.0
168,266980,SD,663766,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",0.069444,10.0
169,266980,SD,663766,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",0.0625,17.0
170,266980,SD,663766,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",0.018519,2.0
171,266980,SD,663766,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.153846,40.0
172,266980,SD,663766,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.5,72.0
173,266980,SD,663766,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",1.0,272.0
174,266980,SD,663766,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.076923,20.0
175,266980,SD,663766,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.153846,40.0
176,266980,SD,663767,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.076923,20.0
